ra,dec,d,phase
115.3570657,-5.310474126,1221.9537,241
115.3767941,-5.29991871,1220.8066,241
115.3966575,-5.289401808,1219.6589,241
115.4164254,-5.278710513,1218.5103,241
115.43624,-5.268105457,1217.361,241
115.4560066,-5.257412907,1216.211,241
115.4758133,-5.246585146,1215.0601,241
115.4956193,-5.235756773,1213.9085,241
115.5154247,-5.224927787,1212.7562,241
115.535182,-5.214011362,1211.6032,241
115.5549386,-5.203094341,1210.4493,241
115.5747828,-5.192128974,1209.2947,241
115.5945316,-5.18098939,1208.1394,241
115.614327,-5.169936039,1206.9832,241
115.6340744,-5.15879531,1205.8263,241
115.6538211,-5.147654014,1204.6686,241
115.673608,-5.136377606,1203.5101,241
115.6932587,-5.125061635,1202.3509,241
115.7130443,-5.113784126,1201.1909,241
115.7327344,-5.102332542,1200.0301,241
115.7524713,-5.090967189,1198.8686,241
115.7722483,-5.079466774,1197.7063,241
115.7918892,-5.067926873,1196.5432,241
115.8116175,-5.056338684,1195.3793,241
115.8312979,-5.044663258,1194.2146,241
115.8510249,-5.03307406,1193.0491,241
115.8706566,-5.021310929,1191.8829,241
115.8902876,-5.009547322,1190.7158,241
115.909918,-4.99778324,1189.548,241
115.9295004,-4.985931993,1188.3793,241
115.9491703,-4.974032488,1187.2099,241
115.9687923,-4.962045843,1186.0397,241
115.9883254,-4.950106558,1184.8687,241
116.0078987,-4.938032362,1183.6968,241
116.0274714,-4.925957739,1182.5242,241
116.0469961,-4.913796039,1181.3508,241
116.0665202,-4.901633928,1180.1764,241
116.0861319,-4.889423594,1179.0014,241
116.1055601,-4.877087405,1177.8255,241
116.125035,-4.864837463,1176.6488,241
116.1445501,-4.852452693,1175.4713,241
116.1639291,-4.840028759,1174.2928,241
116.1833957,-4.827556642,1173.1137,241
116.2027736,-4.815131994,1171.9337,241
116.2221916,-4.802572573,1170.7528,241
116.2415618,-4.789926227,1169.5712,241
116.2608432,-4.77732739,1168.3887,241
116.2802122,-4.764680397,1167.2054,241
116.2995332,-4.75194652,1166.0212,241
116.3188064,-4.739125783,1164.8363,241
116.3379909,-4.726352598,1163.6504,241
116.357263,-4.713531284,1162.4636,241
116.3764872,-4.700623151,1161.2762,241
116.3956635,-4.687628222,1160.0877,241
116.4148393,-4.674633038,1158.8985,241
116.4339264,-4.661685454,1157.7084,241
116.4530538,-4.648603265,1156.5174,241
116.4721334,-4.635434343,1155.3256,241
116.4911243,-4.622313061,1154.1329,241
116.5102028,-4.609143708,1152.9393,241
116.5292335,-4.595887664,1151.7449,241
116.5481283,-4.582592813,1150.5496,241
116.5671107,-4.569249922,1149.3534,241
116.5860045,-4.555954716,1148.1564,241
116.6048913,-4.54243857,1146.9584,241
116.6237368,-4.529056589,1145.7596,241
116.6424873,-4.515501581,1144.5599,241
116.6612846,-4.502032876,1143.3593,241
116.6801222,-4.488429741,1142.1577,241
116.698824,-4.47478794,1140.9553,241
116.71739,-4.461107501,1139.7521,241
116.7360909,-4.447465502,1138.5479,241
116.7546968,-4.433650615,1137.3428,241
116.7732143,-4.419883536,1136.1368,241
116.7918193,-4.406068513,1134.9299,241
116.8102886,-4.392214932,1133.7221,241
116.8287103,-4.378274938,1132.5133,241
116.8471315,-4.364334914,1131.3036,241
116.8655051,-4.350308509,1130.093,241
116.8837902,-4.336329978,1128.8815,241
116.9021158,-4.322217215,1127.669,241
116.9203529,-4.308152346,1126.4556,241
116.9385425,-4.294001164,1125.2413,241
116.9567316,-4.279850009,1124.0261,241
116.974826,-4.265526261,1122.8099,241
116.9928792,-4.25133677,1121.5927,241
117.0109728,-4.237013139,1120.3746,241
117.0289309,-4.222651175,1119.1556,241
117.0468006,-4.208337189,1117.9355,241
117.0647108,-4.193889117,1116.7146,241
117.0824855,-4.179402772,1115.4926,241
117.1003479,-4.164868649,1114.2697,241
117.118034,-4.150430442,1113.0458,241
117.1357605,-4.135858211,1111.8209,241
117.1533516,-4.121247777,1110.595,241
117.1708953,-4.106551262,1109.3682,241
117.1884859,-4.091941152,1108.1404,241
117.2059818,-4.077158758,1106.9116,241
117.2233895,-4.062424457,1105.6818,241
117.2407498,-4.047604142,1104.4511,241
117.2580219,-4.032831941,1103.2193,241
117.2752466,-4.017973758,1101.9865,241
117.2924239,-4.003029616,1100.7527,241
117.309601,-3.988085722,1099.5179,241
117.3266899,-3.97318998,1098.2821,241
117.3436844,-3.958122151,1097.0452,241
117.3605907,-3.943102509,1095.8074,241
117.3775848,-3.928035246,1094.5685,241
117.3943557,-3.91297793,1093.3286,241
117.4111672,-3.897786868,1092.0876,241
117.4278436,-3.882557893,1090.8456,241
117.4444318,-3.867377158,1089.6026,241
117.4610199,-3.852196761,1088.3585,241
117.4775137,-3.836844468,1087.1134,241
117.4939665,-3.82162656,1085.8672,241
117.510325,-3.8062368,1084.62,241
117.5266835,-3.790847427,1083.3716,241
117.5429068,-3.775420256,1082.1222,241
117.5590421,-3.760041394,1080.8718,241
117.5750831,-3.74449078,1079.6203,241
117.5911713,-3.729026673,1078.3677,241
117.6070773,-3.713438762,1077.114,241
117.6229832,-3.697851302,1075.8592,241
117.6388012,-3.6823122,1074.6034,241
117.6544372,-3.666649362,1073.3464,241
117.6700732,-3.650987007,1072.0884,241
117.6857091,-3.635325137,1070.8293,241
117.7011631,-3.619539598,1069.569,241
117.7165292,-3.603802476,1068.3076,241
117.7318953,-3.588065869,1067.0452,241
117.7470796,-3.572205659,1065.7816,241
117.7622638,-3.556345993,1064.5169,241
117.7773603,-3.540534772,1063.251,241
117.7923628,-3.524552113,1061.984,241
117.8072775,-3.508617927,1060.7159,241
117.8221044,-3.492732213,1059.4467,241
117.8368374,-3.476675124,1058.1763,241
117.8514826,-3.460666533,1056.9048,241
117.866081,-3.444572583,1055.6321,241
117.8805916,-3.428527143,1054.3583,241
117.8949675,-3.412444262,1053.0832,241
117.9092087,-3.396323956,1051.8071,241
117.9234032,-3.380118352,1050.5297,241
117.9375099,-3.363961294,1049.2512,241
117.9515699,-3.347718963,1047.9715,241
117.9654073,-3.331487153,1046.6907,241
117.979333,-3.315208136,1045.4085,241
117.9930361,-3.29893966,1044.1253,241
118.0066046,-3.282633852,1042.8408,241
118.0201264,-3.266242847,1041.5552,241
118.0335607,-3.249900439,1040.2684,241
118.0469483,-3.233472858,1038.9804,241
118.0601135,-3.217055875,1037.6911,241
118.0732322,-3.20055375,1036.4006,241
118.0862633,-3.184100248,1035.1089,241
118.0992479,-3.167561628,1033.8159,241
118.1120101,-3.151033647,1032.5218,241
118.1247727,-3.134506434,1031.2265,241
118.1372661,-3.11790402,1029.9298,241
118.1497599,-3.101302393,1028.632,241
118.1621662,-3.084749418,1027.3328,241
118.1744793,-3.068025555,1026.0325,241
118.1866169,-3.051398221,1024.7309,241
118.1987082,-3.034685864,1023.428,241
118.2105773,-3.017984212,1022.1239,241
118.2224,-3.001197562,1020.8185,241
118.2341354,-2.984459597,1019.5118,241
118.2457365,-2.967684503,1018.2039,241
118.2572034,-2.950872291,1016.8947,241
118.2685361,-2.93402297,1015.5842,241
118.2797346,-2.917136549,1014.2724,241
118.2908458,-2.900298829,1012.9593,241
118.3018229,-2.883424018,1011.6449,241
118.3126659,-2.866512125,1010.3292,241
118.3234627,-2.849515325,1009.0122,241
118.3340843,-2.832615067,1007.694,241
118.344525,-2.815591973,1006.3744,241
118.3548785,-2.798617593,1005.0535,241
118.365098,-2.78160616,1003.7313,241
118.3752714,-2.76450986,1002.4077,241
118.3852229,-2.747424343,1001.0828,241
118.3950872,-2.730387541,999.7566,241
118.4048176,-2.713313702,998.4291,241
118.4143673,-2.696117094,997.1002,241
118.4237419,-2.67901701,995.77,241
118.4330706,-2.661832096,994.4384,241
118.4423121,-2.644695894,993.1055,241
118.4512852,-2.627484745,991.7712,241
118.4601711,-2.610322303,990.4355,241
118.4689644,-2.592989336,989.0985,241
118.4775828,-2.575752867,987.7602,241
118.4860673,-2.558479387,986.4204,241
118.4943302,-2.541216678,985.0793,241
118.5025473,-2.523869178,983.7368,241
118.5105895,-2.506618145,982.3929,241
118.5184512,-2.489244399,981.0477,241
118.5261794,-2.471833643,979.701,241
118.5338205,-2.454471568,978.353,241
118.54124,-2.437120237,977.0035,241
118.548526,-2.419731885,975.6527,241
118.5556783,-2.40230651,974.3005,241
118.562697,-2.384844112,972.9468,241
118.5694943,-2.367392435,971.5918,241
118.576246,-2.349855984,970.2354,241
118.5826883,-2.332377981,968.8775,241
118.589085,-2.314815199,967.5182,241
118.5953069,-2.297348772,966.1575,241
118.6013488,-2.279759628,964.7953,241
118.6072158,-2.26226681,963.4318,241
118.6129908,-2.244603549,962.0668,241
118.618503,-2.227084307,960.7003,241
118.6239233,-2.209394618,959.3325,241
118.6291688,-2.191801204,957.9631,241
118.6341929,-2.174218395,956.5924,241
118.6391717,-2.156550778,955.2202,241
118.6437948,-2.138855794,953.8465,241
118.648419,-2.121161635,952.4714,241
118.652822,-2.10347803,951.0949,241
118.6570038,-2.085804958,949.7168,241
118.6610059,-2.068009088,948.3373,241
118.6649212,-2.050261685,946.9564,241
118.6686153,-2.032524768,945.574,241
118.6720883,-2.014798315,944.1901,241
118.6754281,-1.997034646,942.8048,241
118.6785883,-1.979148125,941.4179,241
118.6815738,-1.961357645,940.0296,241
118.6843383,-1.94357755,938.6398,241
118.6869696,-1.925760181,937.2485,241
118.6894214,-1.907819902,935.8558,241
118.6916986,-1.889975575,934.4615,241
118.6937084,-1.872055927,933.0658,241
118.6955435,-1.854232173,931.6686,241
118.6971993,-1.836285435,930.2699,241
118.6987684,-1.81838694,928.8697,241
118.7000701,-1.800413032,927.4681,241
