ra,dec,d,phase
112.6976766,-6.324565127,1368.9556,239
112.7155595,-6.320682667,1367.9018,239
112.7334835,-6.316664378,1366.8473,239
112.7513656,-6.312780111,1365.7921,239
112.7693775,-6.308712763,1364.7363,239
112.7873417,-6.304556837,1363.6798,239
112.8053527,-6.300487672,1362.6226,239
112.8233161,-6.296329938,1361.5647,239
112.8414564,-6.292076766,1360.5061,239
112.8594603,-6.2877823,1359.4469,239
112.8775525,-6.283439657,1358.3869,239
112.8956443,-6.279096106,1357.3263,239
112.9138243,-6.274704361,1356.265,239
112.9320452,-6.270176785,1355.2031,239
112.9501771,-6.265695583,1354.1404,239
112.9684384,-6.261031267,1353.0771,239
112.9866581,-6.256500947,1352.0131,239
113.0049186,-6.251834801,1350.9484,239
113.02322,-6.247032832,1349.883,239
113.0415683,-6.242317547,1348.8169,239
113.0598688,-6.237513747,1347.7502,239
113.0782101,-6.232574129,1346.6828,239
113.0965984,-6.227721181,1345.6148,239
113.1150274,-6.222732411,1344.546,239
113.1334087,-6.217655148,1343.4766,239
113.1519254,-6.212617211,1342.4064,239
113.1703944,-6.207490785,1341.3357,239
113.1888629,-6.202363441,1340.2642,239
113.2073721,-6.197100284,1339.1921,239
113.2259695,-6.191788865,1338.1192,239
113.2445664,-6.186476522,1337.0457,239
113.2631628,-6.181163257,1335.9715,239
113.2817114,-6.175761536,1334.8967,239
113.3004367,-6.170264178,1333.8211,239
113.3190255,-6.164725738,1332.7449,239
113.3377025,-6.159139016,1331.668,239
113.3564674,-6.153504003,1330.5904,239
113.375096,-6.147827937,1329.5121,239
113.3939486,-6.142143699,1328.4332,239
113.4126647,-6.136418418,1327.3536,239
113.43151,-6.130509957,1326.2733,239
113.4502663,-6.124647967,1325.1924,239
113.4691106,-6.118737668,1324.1107,239
113.488043,-6.112779048,1323.0283,239
113.5069274,-6.106732034,1321.9453,239
113.5258113,-6.100684103,1320.8616,239
113.5447359,-6.094500388,1319.7773,239
113.5636599,-6.088315758,1318.6922,239
113.5825834,-6.082130214,1317.6065,239
113.6015475,-6.075808895,1316.5201,239
113.620647,-6.069526673,1315.433,239
