ra,dec,d,phase
102.1779963,-11.71804471,1369.2463,61
102.1643658,-11.73026656,1368.1929,61
102.1505971,-11.74244317,1367.139,61
102.1368723,-11.75470785,1366.0842,61
102.1230094,-11.76692728,1365.0289,61
102.1090998,-11.77905678,1363.9728,61
102.095234,-11.79127433,1362.9161,61
102.0812301,-11.8034466,1361.8587,61
102.0671334,-11.81566255,1360.8005,61
102.0530813,-11.82774393,1359.7417,61
102.0389363,-11.83986899,1358.6822,61
102.0246985,-11.85203769,1357.622,61
102.0104592,-11.86420542,1356.5612,61
101.9961731,-11.87628319,1355.4997,61
101.9817942,-11.88840458,1354.4374,61
101.9672769,-11.90048058,1353.3745,61
101.9528951,-11.91259999,1352.3109,61
101.9383749,-11.924674,1351.2467,61
101.9237165,-11.9367026,1350.1816,61
101.909102,-11.94881916,1349.116,61
101.8944406,-11.96084573,1348.0496,61
101.879641,-11.97282685,1346.9827,61
101.8648852,-11.98489593,1345.915,61
101.8499911,-11.99691954,1344.8466,61
101.8350503,-12.00885311,1343.7775,61
101.8200616,-12.02091917,1342.7078,61
101.8050262,-12.03289518,1341.6374,61
101.7899893,-12.04487014,1340.5662,61
101.7748141,-12.05679956,1339.4945,61
101.7596373,-12.06872792,1338.422,61
101.7443675,-12.08069971,1337.3488,61
101.7290961,-12.09267041,1336.2749,61
101.713778,-12.10455104,1335.2004,61
101.6983668,-12.11647508,1334.1252,61
101.6829088,-12.12830903,1333.0493,61
101.6673576,-12.14018635,1331.9727,61
101.651805,-12.15206256,1330.8955,61
101.6361139,-12.16389313,1329.8175,61
101.6204665,-12.17581156,1328.7389,61
101.6047723,-12.18763987,1327.6596,61
101.5889398,-12.19942252,1326.5796,61
101.5731057,-12.21120402,1325.4989,61
101.5571784,-12.22302882,1324.4175,61
101.5412495,-12.23485245,1323.3354,61
101.5252738,-12.24658594,1322.2526,61
101.5092049,-12.25836269,1321.1692,61
101.4930893,-12.27004928,1320.0851,61
101.4768804,-12.28177911,1319.0003,61
101.4606699,-12.29350774,1317.9148,61
101.4444127,-12.30514621,1316.8286,61
101.4281073,-12.31691684,1315.7418,61
101.4116183,-12.3285527,1314.6542,61
101.3952646,-12.34023194,1313.566,61
101.3787724,-12.35186537,1312.4771,61
101.3621869,-12.36354193,1311.3875,61
101.3455547,-12.37512829,1310.2972,61
101.3289208,-12.38671342,1309.2062,61
101.3121936,-12.39834164,1308.1146,61
101.2954196,-12.40987965,1307.0222,61
101.2785523,-12.42146073,1305.9292,61
101.2616833,-12.43304055,1304.8354,61
101.2447676,-12.44453013,1303.741,61
101.2277585,-12.45606275,1302.6459,61
101.2107478,-12.46759409,1301.5501,61
101.1936904,-12.47903518,1300.4536,61
101.1765395,-12.49051928,1299.3565,61
101.1593869,-12.50200207,1298.2586,61
101.1420959,-12.51343888,1297.16,61
101.1248031,-12.52487438,1296.0608,61
101.1074638,-12.5362196,1294.9609,61
101.0900759,-12.54769673,1293.8602,61
101.0725963,-12.5589946,1292.7588,61
101.0550682,-12.57042435,1291.6568,61
101.0374935,-12.58176379,1290.5541,61
101.0199171,-12.59310189,1289.4507,61
101.0022021,-12.60439391,1288.3466,61
100.9844855,-12.61568457,1287.2418,61
100.9666304,-12.62692912,1286.1364,61
100.9489104,-12.63821704,1285.0302,61
100.9309599,-12.64950304,1283.9233,61
100.9130548,-12.66065451,1282.8157,61
100.895056,-12.67184878,1281.7075,61
100.8770556,-12.68304165,1280.5985,61
100.8589166,-12.69418836,1279.4888,61
100.8407759,-12.70533366,1278.3785,61
100.8225415,-12.7165217,1277.2675,61
100.8043526,-12.72757522,1276.1557,61
100.7860699,-12.73867147,1275.0432,61
100.7676936,-12.74981043,1273.9301,61
100.7492707,-12.76085901,1272.8162,61
100.7308461,-12.77190614,1271.7016,61
100.7123749,-12.78286289,1270.5864,61
100.69381,-12.7938623,1269.4704,61
100.6752434,-12.80486026,1268.3537,61
100.6565382,-12.81581192,1267.2364,61
100.6378313,-12.8267621,1266.1183,61
100.6191227,-12.8377108,1264.9995,61
100.6002755,-12.84861317,1263.88,61
100.5814266,-12.85951405,1262.7598,61
100.5625312,-12.8703245,1261.6389,61
100.5436341,-12.88113346,1260.5173,61
100.5245984,-12.89189605,1259.3949,61
100.5055137,-12.9027901,1258.2719,61
100.4864298,-12.91346074,1257.1481,61
100.4672968,-12.92426282,1256.0237,61
100.4481174,-12.93497445,1254.8985,61
100.4287994,-12.94563965,1253.7726,61
100.4096166,-12.95634822,1252.646,61
100.390203,-12.96705434,1251.5187,61
100.3708351,-12.977626,1250.3906,61
100.3513734,-12.9882401,1249.2619,61
100.3319099,-12.99885264,1248.1324,61
100.3124,-13.0093747,1247.0022,61
100.2927962,-13.01993918,1245.8713,61
100.2731461,-13.03041317,1244.7397,61
100.2534942,-13.04088558,1243.6074,61
100.2337484,-13.05140037,1242.4743,61
100.2140484,-13.06178071,1241.3404,61
100.1942545,-13.07220341,1240.2059,61
100.1743221,-13.08257955,1239.0707,61
100.1543879,-13.09295407,1237.9347,61
100.1345442,-13.10328308,1236.798,61
100.1144697,-13.1136094,1235.6606,61
100.0944858,-13.1238902,1234.5223,61
100.0743633,-13.13412438,1233.3833,61
100.0542391,-13.14435695,1232.2438,61
100.0341131,-13.15458788,1231.1033,61
