ra,dec,d,phase
102.1261834,-11.74336825,1369.3872,62
102.1125491,-11.75558718,1368.334,62
102.098868,-11.76771621,1367.2802,62
102.0851395,-11.77997796,1366.2257,62
102.0713642,-11.7921498,1365.1705,62
102.0575421,-11.80423172,1364.1147,62
102.0436726,-11.81644633,1363.0581,62
102.0296649,-11.82861562,1362.0009,62
102.0156558,-11.84078397,1360.9429,62
102.0015999,-11.85286238,1359.8843,62
101.9875425,-11.86493983,1358.825,62
101.9733923,-11.87706093,1357.765,62
101.9591492,-11.88922565,1356.7043,62
101.9448594,-11.90130041,1355.6429,62
101.9305681,-11.91337419,1354.5809,62
101.9161385,-11.92540257,1353.5182,62
101.9017528,-11.93751895,1352.4547,62
101.8872288,-11.94958991,1351.3906,62
101.8726581,-11.96157088,1350.3258,62
101.8581312,-11.97363983,1349.2603,62
101.8434661,-11.98566333,1348.1941,62
101.8287542,-11.99759682,1347.1273,62
101.8139945,-12.00966282,1346.0597,62
101.7991881,-12.02163879,1344.9915,62
101.784335,-12.03352474,1343.9226,62
101.769434,-12.04554316,1342.853,62
101.7544863,-12.05747154,1341.7827,62
101.7394456,-12.06944338,1340.7117,62
101.7243581,-12.08132518,1339.6401,62
101.7091775,-12.0932504,1338.5677,62
101.6939954,-12.10517455,1337.4946,62
101.6788118,-12.11709761,1336.4209,62
101.6634899,-12.1289751,1335.3465,62
101.6481664,-12.14085149,1334.2714,62
101.6327045,-12.15268227,1333.1956,62
101.6172412,-12.16451195,1332.1192,62
101.6017763,-12.17634052,1331.042,62
101.586173,-12.18812344,1329.9642,62
101.5706134,-12.19999423,1328.8856,62
101.5549154,-12.21181935,1327.8064,62
101.5391707,-12.22355435,1326.7265,62
101.5234244,-12.23528822,1325.646,62
101.5075849,-12.24706536,1324.5647,62
101.4917438,-12.25884135,1323.4827,62
101.4757643,-12.27057163,1322.3999,62
101.4597833,-12.28230073,1321.3166,62
101.4437555,-12.29393969,1320.2326,62
101.4276345,-12.30562187,1319.1478,62
101.4115119,-12.31730287,1318.0624,62
101.3952508,-12.32893809,1316.9763,62
101.3790333,-12.34066108,1315.8895,62
101.3626323,-12.3522493,1314.802,62
101.3463664,-12.36388092,1313.7139,62
101.3298704,-12.37551107,1312.625,62
101.3134646,-12.38709564,1311.5354,62
101.2969203,-12.39863438,1310.4452,62
101.2802826,-12.41021622,1309.3543,62
101.2637351,-12.42175248,1308.2627,62
101.2469573,-12.43328719,1307.1703,62
