ra,dec,d,phase
112.6426921,-6.353849292,1368.8061,238
112.6605767,-6.349969195,1367.752,238
112.6785023,-6.345953263,1366.6973,238
112.6964749,-6.342024119,1365.6418,238
112.7144884,-6.337959134,1364.5858,238
112.7324543,-6.333805557,1363.529,238
112.7504671,-6.329738754,1362.4715,238
112.7685209,-6.325536114,1361.4134,238
112.7866629,-6.321285305,1360.3545,238
112.8047572,-6.316945917,1359.295,238
112.8228511,-6.312605619,1358.2348,238
112.8410332,-6.308217143,1357.1739,238
112.859215,-6.303827748,1356.1124,238
112.8774376,-6.299302517,1355.0502,238
112.8956599,-6.29477637,1353.9873,238
112.9138344,-6.290161674,1352.9237,238
112.9321444,-6.285586409,1351.8594,238
112.9504953,-6.280875305,1350.7945,238
112.9687984,-6.276075661,1349.7289,238
112.9871485,-6.271362716,1348.6625,238
113.0055394,-6.266513936,1347.5956,238
113.0238825,-6.261576633,1346.528,238
113.0423611,-6.256678703,1345.4597,238
113.0607919,-6.251692252,1344.3907,238
113.0792636,-6.246569975,1343.321,238
113.0977821,-6.241534362,1342.2506,238
113.1162528,-6.236410244,1341.1796,238
113.1348117,-6.231237878,1340.1079,238
113.1534114,-6.225929685,1339.0356,238
113.1720106,-6.220620569,1337.9625,238
113.1906092,-6.215310529,1336.8888,238
113.209296,-6.209952219,1335.8144,238
113.227935,-6.204505432,1334.7393,238
113.2466621,-6.19901037,1333.6636,238
113.2653413,-6.193426844,1332.5871,238
113.28402,-6.187842399,1331.51,238
113.3027868,-6.18220967,1330.4322,238
113.3215943,-6.176441127,1329.3538,238
113.3404487,-6.170759174,1328.2747,238
113.3592552,-6.164988777,1327.1949,238
113.3781024,-6.159082573,1326.1144,238
113.396949,-6.153175448,1325.0333,238
113.4157952,-6.147267402,1323.9514,238
113.4347293,-6.141311043,1322.8689,238
113.4537042,-6.135218879,1321.7856,238
113.4726785,-6.12912579,1320.7018,238
113.4916048,-6.122944303,1319.6173,238
113.5106192,-6.116714496,1318.532,238
113.5296331,-6.110483766,1317.4462,238
113.5486875,-6.104117246,1316.3596,238
113.5677888,-6.097837255,1315.2724,238
113.5868833,-6.091334027,1314.1844,238
113.6060247,-6.084917321,1313.0959,238
113.6251181,-6.078412257,1312.0066,238
113.6442994,-6.071858845,1310.9166,238
113.6635213,-6.065169653,1309.826,238
113.6826542,-6.058526982,1308.7347,238
113.7018749,-6.051835956,1307.6428,238
113.7211362,-6.045009161,1306.5501,238
113.740397,-6.03818145,1305.4568,238
113.7597456,-6.031305371,1304.3628,238
113.7789578,-6.02438844,1303.2681,238
113.7983464,-6.017375683,1302.1727,238
113.8177344,-6.010362009,1301.0767,238
113.8370744,-6.003260046,1299.98,238
113.8564138,-5.996157178,1298.8826,238
113.8758411,-5.989005928,1297.7845,238
113.8953089,-5.981718932,1296.6858,238
113.914776,-5.974431028,1295.5863,238
113.9341952,-5.967054874,1294.4863,238
113.9537496,-5.959717669,1293.3854,238
113.9732086,-5.952204889,1292.2839,238
113.9927143,-5.944778543,1291.1818,238
114.0122605,-5.937216473,1290.079,238
114.0318061,-5.929653506,1288.9755,238
114.0513921,-5.921954826,1287.8713,238
114.0709775,-5.914255254,1286.7664,238
114.0906033,-5.906419978,1285.6609,238
114.1102758,-5.898671104,1284.5547,238
114.1299003,-5.890834049,1283.4478,238
114.1495653,-5.882861304,1282.3401,238
114.1692295,-5.874887677,1281.2319,238
114.1889816,-5.866865636,1280.123,238
114.2086855,-5.858755449,1279.0133,238
114.2283889,-5.850644387,1277.903,238
114.24818,-5.842484905,1276.792,238
114.267923,-5.834237303,1275.6803,238
114.2877538,-5.82594128,1274.5678,238
114.3075839,-5.817644383,1273.4548,238
114.327366,-5.809259388,1272.341,238
114.3472358,-5.80082597,1271.2266,238
114.3670575,-5.792304474,1270.1115,238
114.3869669,-5.783734555,1268.9957,238
114.4068757,-5.775163773,1267.8792,238
114.4267364,-5.766504939,1266.762,238
114.4466848,-5.757797678,1265.6441,238
114.4666325,-5.749089562,1264.5256,238
114.4865321,-5.74029342,1263.4062,238
114.5065194,-5.731448848,1262.2863,238
114.5264586,-5.72251627,1261.1656,238
114.5463971,-5.713582857,1260.0443,238
114.5663759,-5.704513866,1258.9223,238
114.5864898,-5.695483586,1257.7995,238
114.6064198,-5.686325797,1256.6761,238
114.6264849,-5.677206716,1255.552,238
114.6465902,-5.667952069,1254.4272,238
114.6665591,-5.658657098,1253.3017,238
114.686663,-5.649400814,1252.1755,238
114.7068072,-5.640008981,1251.0486,238
114.7269033,-5.630529237,1249.921,238
114.7469986,-5.621048691,1248.7928,238
114.7670932,-5.611567345,1247.6637,238
114.7872281,-5.601950485,1246.534,238
114.8073622,-5.592332833,1245.4036,238
114.8275366,-5.582579683,1244.2725,238
114.8476219,-5.572873394,1243.1408,238
114.8678832,-5.563071031,1242.0082,238
114.888008,-5.553228486,1240.875,238
114.9082204,-5.543337518,1239.7411,238
114.9283847,-5.533358745,1238.6065,238
114.9485483,-5.523379213,1237.4711,238
114.9687994,-5.513351257,1236.3351,238
114.9890025,-5.503235526,1235.1983,238
115.0092931,-5.493071375,1234.0608,238
115.0294473,-5.482867144,1232.9226,238
115.0496891,-5.472614503,1231.7837,238
115.0700184,-5.462313443,1230.6441,238
115.0902996,-5.45192466,1229.5037,238
115.1104444,-5.441495861,1228.3627,238
115.1308125,-5.43105794,1227.221,238
115.1509968,-5.420493062,1226.0785,238
115.171316,-5.40996674,1224.9353,238
115.1915871,-5.399352757,1223.7914,238
115.2118983,-5.388603431,1222.6467,238
115.2321679,-5.377988047,1221.5014,238
115.2524303,-5.367150405,1220.3552,238
115.2727394,-5.356399005,1219.2085,238
115.2930412,-5.345425378,1218.0609,238
115.3133897,-5.33453799,1216.9126,238
115.3336901,-5.323563023,1215.7636,238
115.3539423,-5.312500502,1214.6138,238
115.3741939,-5.301437331,1213.4633,238
115.3945329,-5.290325785,1212.3121,238
115.4148239,-5.279126716,1211.1602,238
115.4352023,-5.267879277,1210.0076,238
115.4554919,-5.256678933,1208.8541,238
115.4757741,-5.245256516,1207.7,238
115.496103,-5.233920332,1206.5451,238
115.5163839,-5.222496689,1205.3894,238
115.5367522,-5.211024691,1204.233,238
115.5569842,-5.19951301,1203.0758,238
115.5772564,-5.187866171,1201.918,238
115.5975752,-5.176305559,1200.7593,238
115.6178868,-5.164522995,1199.5999,238
115.6381568,-5.152874417,1198.4398,238
115.6584669,-5.141090714,1197.2789,238
115.678729,-5.129219664,1196.1172,238
115.6989904,-5.117348066,1194.9548,238
115.7192919,-5.105341383,1193.7916,238
115.7395519,-5.093468695,1192.6277,238
115.7598046,-5.081374183,1191.463,238
115.7800566,-5.069279152,1190.2976,238
115.800308,-5.057183603,1189.1313,238
115.8205113,-5.045000807,1187.9643,238
115.8408021,-5.032769725,1186.7965,238
115.8609566,-5.020499212,1185.628,238
115.8811987,-5.008180426,1184.4587,238
115.9013927,-4.995774452,1183.2886,238
115.9215861,-4.98336801,1182.1177,238
115.9417314,-4.970874412,1180.9461,238
115.961876,-4.958380363,1179.7736,238
115.9821082,-4.945838063,1178.6004,238
116.002245,-4.933121977,1177.4264,238
116.0223403,-4.920539936,1176.2517,238
116.0424757,-4.907823005,1175.076,238
116.0625632,-4.895019011,1173.8996,238
116.08265,-4.882214616,1172.7224,238
116.1027362,-4.869409823,1171.5444,238
116.1228625,-4.856470191,1170.3656,238
116.1428527,-4.843491377,1169.186,238
116.1628423,-4.830512199,1168.0057,238
116.1829194,-4.817484837,1166.8245,238
116.2029485,-4.804370514,1165.6425,238
116.2228415,-4.791217084,1164.4597,238
116.2428221,-4.778015497,1163.2761,238
116.262802,-4.764813582,1162.0916,238
116.282734,-4.751524774,1160.9064,238
116.3026181,-4.738149096,1159.7202,238
116.3225016,-4.724773126,1158.5333,238
116.3423845,-4.711396865,1157.3456,238
116.3622194,-4.697933778,1156.1571,238
116.3820065,-4.684383888,1154.9676,238
116.401793,-4.670833743,1153.7774,238
116.421579,-4.657283346,1152.5863,238
116.4414051,-4.64359834,1151.3944,238
116.4610953,-4.629874445,1150.2017,238
116.4807849,-4.616150334,1149.0081,238
116.500474,-4.60242601,1147.8137,238
116.520068,-4.588528511,1146.6184,238
116.5397967,-4.574669449,1145.4222,238
116.5593423,-4.560685117,1144.2252,238
116.5789347,-4.546787083,1143.0273,238
116.5984792,-4.532802424,1141.8285,238
116.6179759,-4.518731165,1140.629,238
116.6374249,-4.504573328,1139.4285,238
116.6569206,-4.4905018,1138.2272,238
116.6763212,-4.476257291,1137.025,238
116.6957214,-4.46201268,1135.822,238
116.715033,-4.447815839,1134.618,238
116.734385,-4.43348463,1133.4132,238
116.7536892,-4.419066945,1132.2074,238
116.7729049,-4.404697072,1131.0008,238
116.792161,-4.390192885,1129.7933,238
116.8113285,-4.375736531,1128.5849,238
116.8304484,-4.361193773,1127.3756,238
116.8495678,-4.346650993,1126.1654,238
116.8686395,-4.332021843,1124.9543,238
116.8877108,-4.317392692,1123.7423,238
116.9066873,-4.302590866,1122.5294,238
116.9256225,-4.287923288,1121.3156,238
116.9445981,-4.273121524,1120.1008,238
116.9634381,-4.258281368,1118.8851,238
116.9822778,-4.243441269,1117.6685,238
117.0010698,-4.228514928,1116.451,238
117.0198142,-4.21350237,1115.2325,238
117.0384703,-4.198537795,1114.0132,238
117.057214,-4.183525428,1112.7929,238
117.0758222,-4.168474779,1111.5715,238
117.0943829,-4.153337982,1110.3493,238
117.112896,-4.13811506,1109.1261,238
117.131368,-4.123026437,1107.902,238
117.1497453,-4.107765467,1106.6769,238
117.1681223,-4.09250467,1105.4509,238
117.1864519,-4.077157818,1104.2239,238
117.2047812,-4.06181116,1102.996,238
117.222975,-4.046426377,1101.7671,238
117.2411214,-4.0309556,1100.5372,238
117.2592676,-4.015485053,1099.3063,238
117.2773255,-4.000062639,1098.0744,238
117.2953769,-3.984420186,1096.8416,238
117.3133401,-3.9688259,1095.6078,238
117.331215,-3.953279786,1094.3729,238
117.3490426,-3.937647779,1093.1371,238
117.3668229,-3.921929902,1091.9003,238
117.3845559,-3.90612618,1090.6624,238
117.4022008,-3.890370685,1089.4236,238
117.4198454,-3.874615518,1088.1838,238
117.4373957,-3.858688416,1086.9429,238
117.454905,-3.842895704,1085.7011,238
117.4723199,-3.826931105,1084.4582,238
117.4897348,-3.810966887,1083.2142,238
117.5070144,-3.794964849,1081.9693,238
117.5242059,-3.779011115,1080.7233,238
117.5413912,-3.762837698,1079.4762,238
117.5585355,-3.746798703,1078.2281,238
117.5754976,-3.730635874,1076.979,238
117.5924597,-3.714473499,1075.7288,238
117.6094217,-3.69831158,1074.4776,238
117.6262016,-3.682025903,1073.2253,238
117.6429815,-3.665740714,1071.972,238
117.6596734,-3.649503917,1070.7176,238
