ra,dec,d,phase
102.2864346,-11.6650004,1368.9556,59
102.2727206,-11.67727302,1367.9018,59
102.2588684,-11.68950042,1366.8473,59
102.2451516,-11.70177122,1365.7921,59
102.2312053,-11.71404147,1364.7363,59
102.2172121,-11.7262218,1363.6798,59
102.203263,-11.73849019,1362.6226,59
102.189267,-11.75066865,1361.5647,59
102.1750868,-11.7629355,1360.5061,59
102.1609512,-11.77506774,1359.4469,59
102.1467228,-11.78724369,1358.3869,59
102.132493,-11.79941867,1357.3263,59
102.1181703,-11.81163733,1356.265,59
102.1037093,-11.82381066,1355.2031,59
102.0893384,-11.83593837,1354.1404,59
102.0747377,-11.84806537,1353.0771,59
102.0602724,-11.86023573,1352.0131,59
102.0456688,-11.87236072,1350.9484,59
102.030927,-11.88444033,1349.883,59
102.016229,-11.89660792,1348.8169,59
102.0014842,-11.90868549,1347.7502,59
101.9866012,-11.92071765,1346.6828,59
101.9717619,-11.93283777,1345.6148,59
101.9567844,-11.94491245,1344.546,59
101.94176,-11.95689709,1343.4766,59
101.926688,-11.96901425,1342.4064,59
101.9115691,-11.98104136,1341.3357,59
101.8964488,-11.9930674,1340.2642,59
101.8811901,-12.00504795,1339.1921,59
101.8658383,-12.01707198,1338.1192,59
101.850485,-12.02909491,1337.0457,59
101.8351302,-12.04111676,1335.9715,59
101.8197286,-12.05304853,1334.8967,59
101.8041423,-12.06506825,1333.8211,59
101.7886008,-12.07695336,1332.7449,59
101.7729662,-12.08888188,1331.668,59
101.7572385,-12.10085378,1330.5904,59
101.7415555,-12.11269106,1329.5121,59
101.725733,-12.1247052,1328.4332,59
101.7099554,-12.13658472,1327.3536,59
101.6939477,-12.14846308,1326.2733,59
101.6780301,-12.16029581,1325.1924,59
101.6620192,-12.17217186,1324.1107,59
101.6459152,-12.18409121,1323.0283,59
101.6297643,-12.1959204,1321.9453,59
101.6136119,-12.20774841,1320.8616,59
101.597321,-12.21953071,1319.7773,59
101.5810286,-12.23131182,1318.6922,59
101.5647345,-12.24309173,1317.6065,59
101.548302,-12.2548259,1316.5201,59
101.5318214,-12.26669226,1315.433,59
101.5152489,-12.27837944,1314.3452,59
101.4987198,-12.29015437,1313.2568,59
101.4820523,-12.30188351,1312.1677,59
101.4653832,-12.31361141,1311.0779,59
101.4486673,-12.32524909,1309.9874,59
101.4318581,-12.33692992,1308.8963,59
101.4149555,-12.34865387,1307.8044,59
101.3980062,-12.36028758,1306.7119,59
101.3810552,-12.37192001,1305.6187,59
101.3640108,-12.38359554,1304.5248,59
101.3469196,-12.39518081,1303.4303,59
101.3298268,-12.40676479,1302.335,59
101.3126406,-12.41839183,1301.2391,59
101.2953158,-12.42997293,1300.1425,59
101.2780812,-12.44150838,1299.0452,59
101.2607531,-12.45308685,1297.9473,59
101.2432865,-12.46461936,1296.8486,59
101.2258182,-12.47615053,1295.7493,59
101.2083032,-12.4875914,1294.6493,59
101.1907397,-12.49916419,1293.5485,59
101.1730845,-12.51055771,1292.4471,59
101.1553808,-12.52208313,1291.345,59
101.1376303,-12.53351821,1290.2423,59
101.1198782,-12.54495193,1289.1389,59
101.1019875,-12.55633959,1288.0347,59
101.0840951,-12.56772587,1286.93,59
101.0660641,-12.57906605,1285.8245,59
101.0480765,-12.5904938,1284.7183,59
101.0300421,-12.60183118,1283.6114,59
101.0118692,-12.61312245,1282.5039,59
100.9936945,-12.6244123,1281.3956,59
100.9754262,-12.63574495,1280.2868,59
100.9571113,-12.64698722,1279.1771,59
100.9387947,-12.65822806,1278.0668,59
100.9203843,-12.66951167,1276.9559,59
100.9019274,-12.68070488,1275.8442,59
100.8834687,-12.69189664,1274.7317,59
100.8649163,-12.70313112,1273.6188,59
100.8462253,-12.71431937,1272.505,59
100.8276246,-12.72546198,1271.3905,59
100.8088853,-12.73655833,1270.2754,59
100.7900522,-12.74769735,1269.1596,59
100.7713094,-12.75879073,1268.043,59
100.752428,-12.76983783,1266.9258,59
100.7334528,-12.78092756,1265.808,59
100.7144759,-12.79201577,1264.6894,59
100.6954524,-12.80301353,1263.57,59
100.6764271,-12.81400978,1262.45,59
100.6572633,-12.82495968,1261.3293,59
100.6380056,-12.83595215,1260.2079,59
100.6187934,-12.84681005,1259.0858,59
100.5995323,-12.85779943,1257.963,59
100.5800877,-12.86865347,1256.8395,59
100.5607782,-12.87955082,1255.7154,59
100.5413301,-12.89040175,1254.5905,59
100.5217433,-12.90120624,1253.4648,59
100.5022917,-12.91205404,1252.3386,59
100.4827015,-12.92285538,1251.2115,59
100.4629726,-12.93361025,1250.0839,59
100.443242,-12.94436353,1248.9555,59
100.4235096,-12.95511521,1247.8263,59
100.4037307,-12.96577637,1246.6965,59
100.3838579,-12.97647994,1245.566,59
100.3639387,-12.98709298,1244.4347,59
100.3440177,-12.99770441,1243.3028,59
100.3240028,-13.00835821,1242.1702,59
100.3039414,-13.01892146,1241.0368,59
100.2838782,-13.02948309,1239.9027,59
100.2636765,-13.03999814,1238.7679,59
100.243473,-13.05051154,1237.6324,59
100.2232677,-13.06102329,1236.4962,59
100.203016,-13.0714445,1235.3593,59
100.1826703,-13.08190799,1234.2215,59
100.1622783,-13.09228091,1233.0831,59
100.1417923,-13.10269609,1231.944,59
100.1213045,-13.11310959,1230.8042,59
100.1007703,-13.12343251,1229.6636,59
100.0801898,-13.13366487,1228.5224,59
100.0596521,-13.14398443,1227.3804,59
100.0389313,-13.15416842,1226.2376,59
100.0182533,-13.1644396,1225.0942,59
99.99743663,-13.17466405,1223.95,59
99.976666,-13.18475406,1222.8051,59
99.95584588,-13.19497511,1221.6595,59
99.93484261,-13.20506052,1220.5131,59
99.91397446,-13.21518925,1219.366,59
99.8929232,-13.22518234,1218.2181,59
99.87191472,-13.23526258,1217.0696,59
99.85085999,-13.24525222,1215.9203,59
99.82975905,-13.25515126,1214.7702,59
99.80856403,-13.26509237,1213.6194,59
99.78736729,-13.27503173,1212.4678,59
99.76612435,-13.28488049,1211.3156,59
99.74478731,-13.29477128,1210.1626,59
99.72354093,-13.30461655,1209.0088,59
99.70211156,-13.31432611,1207.8543,59
99.68072492,-13.32412278,1206.699,59
99.65929215,-13.33382883,1205.543,59
99.63776525,-13.34357686,1204.3861,59
99.61619223,-13.35323426,1203.2286,59
99.59457312,-13.36280104,1202.0704,59
99.57299672,-13.3724549,1200.9113,59
99.55132986,-13.38192929,1199.7515,59
99.5297057,-13.39149076,1198.5909,59
99.50794302,-13.40100531,1197.4296,59
99.48613432,-13.41042923,1196.2675,59
99.46432394,-13.41985136,1195.1046,59
99.44246757,-13.42918287,1193.941,59
99.42056137,-13.4386451,1192.7766,59
99.39865737,-13.44788421,1191.6114,59
99.37665922,-13.45716518,1190.4455,59
99.35465941,-13.46644436,1189.2788,59
99.33261367,-13.47563291,1188.1112,59
99.3105663,-13.48481966,1186.943,59
99.28847302,-13.4939158,1185.7739,59
99.26628558,-13.50305375,1184.6041,59
99.24405225,-13.51210107,1183.4334,59
99.22190988,-13.521103,1182.262,59
99.1996291,-13.5300579,1181.0899,59
99.17734672,-13.539011,1179.9168,59
99.15506274,-13.5479623,1178.7431,59
99.13259616,-13.55677773,1177.5684,59
99.1102648,-13.5656366,1176.3931,59
99.08788768,-13.57440487,1175.2169,59
99.06537219,-13.58312607,1174.0398,59
99.04294777,-13.59180193,1172.862,59
99.02042917,-13.60051952,1171.6834,59
98.99786486,-13.60914649,1170.504,59
98.97525487,-13.61768287,1169.3238,59
98.95264335,-13.62621743,1168.1427,59
98.93003031,-13.6347502,1166.9609,59
98.90737163,-13.64319237,1165.7782,59
98.88466734,-13.65154395,1164.5947,59
98.86196156,-13.65989374,1163.4104,59
98.83925429,-13.66824172,1162.2252,59
98.81640876,-13.67654258,1161.0393,59
98.79361039,-13.68470941,1159.8524,59
98.77081056,-13.69287445,1158.6648,59
98.74791656,-13.70108112,1157.4763,59
98.72506978,-13.7091538,1156.287,59
98.70208481,-13.71717933,1155.0968,59
98.67919115,-13.72515967,1153.9058,59
98.65629607,-13.73313822,1152.7139,59
98.63326283,-13.74106962,1151.5212,59
98.61027695,-13.74886708,1150.3277,59
98.58728968,-13.75666278,1149.1333,59
98.56420826,-13.76450005,1147.9381,59
98.54113032,-13.77211469,1146.7419,59
98.51809498,-13.77981631,1145.5449,59
98.49487761,-13.78738201,1144.3471,59
98.47179564,-13.79499134,1143.1483,59
98.4486684,-13.80251017,1141.9486,59
98.42549593,-13.8099385,1140.7482,59
98.40227826,-13.81727635,1139.5468,59
98.37910319,-13.82470117,1138.3446,59
98.35583906,-13.83194679,1137.1415,59
98.33257367,-13.83919066,1135.9375,59
98.30939986,-13.84638951,1134.7326,59
98.28608809,-13.85354117,1133.5268,59
98.26273124,-13.86060239,1132.3201,59
98.23946603,-13.86761861,1131.1125,59
98.21615579,-13.87454441,1129.904,59
98.19284436,-13.8814685,1128.6946,59
98.16948793,-13.88830216,1127.4843,59
98.14613033,-13.89513412,1126.2731,59
98.12272777,-13.90187568,1125.0609,59
98.09932406,-13.90861553,1123.8479,59
98.07592459,-13.9151331,1122.634,59
98.05256777,-13.92173768,1121.4191,59
98.02916609,-13.9282519,1120.2033,59
98.00571958,-13.93467577,1118.9865,59
97.98227198,-13.94109796,1117.7687,59
97.95877959,-13.94742981,1116.5502,59
97.9353354,-13.95362818,1115.3306,59
97.91189017,-13.95982491,1114.11,59
97.88844392,-13.96601999,1112.8886,59
97.86495297,-13.97212478,1111.6661,59
97.84151032,-13.97809615,1110.4427,59
97.81802305,-13.98397726,1109.2184,59
