ra,dec,d,phase
102.2313528,-11.69195218,1369.1024,60
102.2177261,-11.70417702,1368.0488,60
102.2039613,-11.71635664,1366.9946,60
102.1901491,-11.72866901,1365.9397,60
102.1762901,-11.74089146,1364.8841,60
102.1623843,-11.753024,1363.8278,60
102.1484311,-11.76528925,1362.7709,60
102.1344311,-11.77746458,1361.7132,60
102.1203383,-11.7896836,1360.6549,60
102.1061987,-11.80181269,1359.5958,60
102.0919662,-11.81398545,1358.5361,60
102.0777323,-11.82615725,1357.4758,60
102.063497,-11.83832808,1356.4147,60
102.0491234,-11.85045357,1355.353,60
102.0346569,-11.86262269,1354.2905,60
102.0202351,-11.87465722,1353.2275,60
102.0056743,-11.88686896,1352.1637,60
101.9911581,-11.89894611,1351.0992,60
101.9765036,-11.91097786,1350.034,60
101.9618016,-11.92314218,1348.9681,60
101.9470527,-11.93521648,1347.9016,60
101.932257,-11.94720078,1346.8345,60
101.9174137,-11.9593176,1345.7666,60
101.9025235,-11.9713444,1344.698,60
101.8874951,-11.98332574,1343.6288,60
101.8725104,-11.99539501,1342.5589,60
101.857479,-12.00737424,1341.4883,60
101.8423545,-12.01939696,1340.417,60
101.8270917,-12.03137416,1339.3451,60
101.8118274,-12.04335028,1338.2724,60
101.7965616,-12.05532532,1337.1991,60
101.7812942,-12.06729927,1336.1251,60
101.7657969,-12.07927219,1335.0504,60
101.7503896,-12.09119949,1333.9751,60
101.734844,-12.10308121,1332.899,60
101.7192969,-12.11496182,1331.8223,60
101.7036566,-12.12688581,1330.7449,60
101.6879695,-12.13871969,1329.6668,60
101.6722345,-12.1506859,1328.588,60
101.6564527,-12.16256199,1327.5086,60
101.6405325,-12.17439243,1326.4284,60
101.6246107,-12.18622171,1325.3476,60
101.6086874,-12.19804984,1324.2661,60
101.5926708,-12.20992126,1323.1839,60
101.5766075,-12.22170253,1322.101,60
101.5604509,-12.23352706,1321.0175,60
101.5442476,-12.24526144,1319.9333,60
101.5280427,-12.25699463,1318.8483,60
101.5117445,-12.26877104,1317.7628,60
101.4953995,-12.28045728,1316.6765,60
101.4790064,-12.2922757,1315.5896,60
101.4625215,-12.30391496,1314.5019,60
101.4459883,-12.31568637,1313.4136,60
101.4294084,-12.32736757,1312.3246,60
101.4128268,-12.33904754,1311.2349,60
101.3961068,-12.35068168,1310.1445,60
101.3793852,-12.36231457,1309.0535,60
101.3626619,-12.37394622,1307.9618,60
101.3458002,-12.385532,1306.8693,60
101.3288451,-12.39716087,1305.7762,60
101.3118883,-12.40878846,1304.6824,60
101.2948848,-12.42032581,1303.588,60
101.2777878,-12.43190621,1302.4928,60
101.2606893,-12.44348531,1301.397,60
101.243544,-12.45497416,1300.3004,60
101.2263052,-12.46650602,1299.2032,60
101.2090648,-12.47803657,1298.1053,60
101.1916859,-12.48952115,1297.0067,60
101.1743053,-12.5010044,1295.9074,60
101.156878,-12.51239736,1294.8075,60
101.1394022,-12.52392223,1293.7068,60
101.1218347,-12.53526785,1292.6055,60
101.1042187,-12.54674534,1291.5035,60
101.086556,-12.55813253,1290.4007,60
101.0688917,-12.56951835,1289.2973,60
101.0510888,-12.5808581,1288.1932,60
101.0332842,-12.59219648,1287.0885,60
101.015341,-12.60348877,1285.983,60
100.9974411,-12.61486862,1284.8769,60
100.9794946,-12.62615813,1283.77,60
100.9614095,-12.63740151,1282.6625,60
100.9433227,-12.64864348,1281.5542,60
100.9252342,-12.65988404,1280.4453,60
100.9070071,-12.67107845,1279.3357,60
100.8887784,-12.68227143,1278.2254,60
100.8704559,-12.69350717,1277.1144,60
100.8520869,-12.70465252,1276.0027,60
100.8337161,-12.71579644,1274.8903,60
100.8152517,-12.72698307,1273.7772,60
100.7967406,-12.73807931,1272.6634,60
100.7782278,-12.74917409,1271.5489,60
100.7595765,-12.76022261,1270.4338,60
100.7409234,-12.77126966,1269.3179,60
100.7221766,-12.78235937,1268.2013,60
100.7033832,-12.79335865,1267.084,60
100.684588,-12.80435645,1265.9661,60
100.6656992,-12.81539686,1264.8474,60
100.6467637,-12.82634683,1263.728,60
