ra,dec,d,phase
115.3177016,-5.331756855,1221.8103,240
115.3376079,-5.321107261,1220.6636,240
115.3576491,-5.310496186,1219.5162,240
115.3775949,-5.299710678,1218.368,240
115.3975874,-5.289011408,1217.2191,240
115.4175317,-5.278224617,1216.0694,240
115.4375163,-5.267302594,1214.919,240
115.4574119,-5.256427681,1213.7678,240
115.4773951,-5.245504409,1212.6159,240
115.4974184,-5.234445929,1211.4633,240
115.5173528,-5.223434579,1210.3099,240
115.5373747,-5.212374874,1209.1557,240
115.5573012,-5.201140913,1208.0008,240
115.5772743,-5.189993185,1206.8451,240
115.5971994,-5.178758053,1205.6887,240
115.6171238,-5.167522342,1204.5314,240
115.6370884,-5.156151496,1203.3735,240
115.6570049,-5.144693294,1202.2147,240
115.6769681,-5.13332132,1201.0552,240
115.6968359,-5.121775232,1199.8949,240
115.7167504,-5.110315375,1198.7339,240
115.736705,-5.098720435,1197.5721,240
115.7566116,-5.087038204,1196.4095,240
115.7765175,-5.07535545,1195.2462,240
115.7963754,-5.063585435,1194.082,240
115.81628,-5.051901647,1192.9171,240
115.8360892,-5.040043889,1191.7514,240
115.8559859,-5.028137855,1190.585,240
115.8757938,-5.016279119,1189.4177,240
115.8956418,-5.004285401,1188.2496,240
115.9154892,-4.992291208,1187.0808,240
115.9352886,-4.980209851,1185.9112,240
115.9550873,-4.968128038,1184.7408,240
115.974838,-4.955959093,1183.5696,240
115.9946762,-4.943741903,1182.3976,240
116.0143783,-4.931485415,1181.2248,240
116.034168,-4.919180697,1180.0511,240
116.0539569,-4.906875554,1178.8768,240
116.0735624,-4.894444518,1177.7015,240
116.0933028,-4.882051913,1176.5255,240
116.1129952,-4.869572275,1175.3487,240
116.1326397,-4.857005627,1174.1709,240
116.1522835,-4.844438607,1172.9925,240
116.1719267,-4.831871216,1171.8132,240
116.1916102,-4.81916903,1170.6331,240
116.2111575,-4.806427722,1169.4522,240
116.2307043,-4.793686077,1168.2705,240
116.2503385,-4.780896265,1167.0879,240
116.2698368,-4.768067379,1165.9045,240
116.2893752,-4.755103775,1164.7203,240
116.308825,-4.742187706,1163.5352,240
116.3283622,-4.729223497,1162.3493,240
116.3477635,-4.716220287,1161.1626,240
116.367205,-4.703082415,1159.975,240
116.386646,-4.689944276,1158.7865,240
116.4059982,-4.67685372,1157.5973,240
116.4253908,-4.663628538,1156.4072,240
116.4446473,-4.650364452,1155.2162,240
116.4639914,-4.637052287,1154.0244,240
116.483335,-4.623739892,1152.8317,240
116.5025427,-4.610388641,1151.6381,240
116.5217906,-4.596902844,1150.4438,240
116.5409499,-4.583464714,1149.2484,240
116.5601968,-4.569978534,1148.0523,240
116.5792605,-4.55636711,1146.8553,240
116.5983709,-4.542841983,1145.6574,240
116.6174744,-4.529095933,1144.4587,240
116.6365366,-4.515484048,1143.259,240
116.6555511,-4.501785585,1142.0584,240
116.6745178,-4.488000565,1140.857,240
116.6934367,-4.474129013,1139.6547,240
116.7124024,-4.460343772,1138.4515,240
116.7312732,-4.446385614,1137.2474,240
116.7500554,-4.432475252,1136.0425,240
116.7689252,-4.418516938,1134.8366,240
116.7876593,-4.404520045,1133.6298,240
116.8064338,-4.390388841,1132.4221,240
116.8251197,-4.376305476,1131.2135,240
116.843758,-4.362135712,1130.0039,240
116.8623959,-4.347965928,1128.7935,240
116.8809861,-4.333709778,1127.5822,240
116.8994879,-4.319501511,1126.3699,240
116.9180301,-4.305159028,1125.1567,240
116.9364839,-4.29086445,1123.9426,240
116.9548428,-4.276397255,1122.7275,240
116.9732486,-4.262016424,1121.5115,240
116.9916069,-4.247549329,1120.2946,240
117.0098295,-4.233043884,1119.0766,240
117.0281398,-4.218490623,1117.8578,240
117.0463145,-4.203899046,1116.638,240
117.0644417,-4.189221287,1115.4173,240
117.0824805,-4.174591533,1114.1956,240
117.1006071,-4.159913998,1112.973,240
117.1185981,-4.145198219,1111.7493,240
117.1365416,-4.130396325,1110.5246,240
117.1543497,-4.115556235,1109.2991,240
117.1722926,-4.100754651,1108.0726,240
117.190053,-4.085828662,1106.8451,240
117.207813,-4.070902861,1105.6165,240
117.2254377,-4.055938934,1104.3871,240
117.2431501,-4.040927312,1103.1566,240
117.2607271,-4.025877599,1101.9252,240
117.2781687,-4.010789817,1100.6927,240
117.2956981,-3.995654376,1099.4593,240
117.3131392,-3.980567082,1098.2248,240
117.3304859,-3.965307686,1096.9893,240
117.3477445,-3.950096471,1095.7529,240
117.3650028,-3.934885537,1094.5153,240
117.3822138,-3.919588731,1093.2768,240
117.3992896,-3.904253981,1092.0373,240
117.416318,-3.888833406,1090.7967,240
117.4332584,-3.873461067,1089.5551,240
117.4501986,-3.858089063,1088.3125,240
117.4670445,-3.842545153,1087.0689,240
117.4839374,-3.827087726,1085.8242,240
117.50056,-3.811554246,1084.5784,240
117.5172705,-3.795973248,1083.3316,240
117.5338459,-3.780354447,1082.0837,240
117.5504211,-3.76473605,1080.8348,240
117.5668142,-3.748993798,1079.5848,240
117.5832544,-3.733338058,1078.3337,240
117.5995123,-3.717558507,1077.0816,240
117.6157703,-3.701779408,1075.8284,240
117.6319403,-3.686048669,1074.5741,240
117.6480161,-3.670146286,1073.3188,240
117.664004,-3.654292291,1072.0624,240
117.6799919,-3.638438785,1070.8048,240
117.6957978,-3.622461607,1069.5462,240
117.7116037,-3.606484947,1068.2864,240
117.7274097,-3.590508808,1067.0256,240
117.7429458,-3.574456966,1065.7637,240
117.7584819,-3.558405672,1064.5006,240
117.7740182,-3.54235493,1063.2365,240
117.7893725,-3.526180651,1061.9712,240
117.804727,-3.510006953,1060.7048,240
117.8199057,-3.49392963,1059.4372,240
117.8350785,-3.477633041,1058.1686,240
117.8500755,-3.461432853,1056.8988,240
117.8650257,-3.445147312,1055.6278,240
117.879976,-3.428862395,1054.3557,240
117.8947917,-3.412540046,1053.0825,240
117.9094726,-3.396180283,1051.8081,240
