ra,dec,d,phase
102.3430581,-11.63727786,1368.8061,58
102.3293482,-11.64955364,1367.752,58
102.3155002,-11.66178424,1366.6973,58
102.3016962,-11.67410292,1365.6418,58
102.287754,-11.68637638,1364.5858,58
102.273765,-11.69855993,1363.529,58
102.25982,-11.71083154,1362.4715,58
102.2457368,-11.72305791,1361.4134,58
102.2315608,-11.73532802,1360.3545,58
102.217338,-11.74750819,1359.295,58
102.2031137,-11.75968739,1358.2348,58
102.1887966,-11.77191031,1357.1739,58
102.1744781,-11.78413225,1356.1124,58
102.1600214,-11.79630889,1355.0502,58
102.1455632,-11.80848454,1353.9873,58
102.1310581,-11.82057022,1352.9237,58
102.1165056,-11.83278854,1351.8594,58
102.1018148,-11.84496151,1350.7945,58
102.0870771,-11.85704447,1349.7289,58
102.0723834,-11.86921541,1348.6625,58
102.0575513,-11.88134097,1347.5956,58
102.0426725,-11.89337651,1346.528,58
102.027746,-11.90554461,1345.4597,58
102.0127727,-11.91762269,1344.3907,58
101.997661,-11.92965533,1343.321,58
101.9825932,-11.94177591,1342.2506,58
101.9674786,-11.95380644,1341.1796,58
101.952271,-11.9658805,1340.1079,58
101.936925,-11.97790907,1339.0356,58
101.9215775,-11.98993655,1337.9625,58
101.9062285,-12.00196296,1336.8888,58
101.8907864,-12.01403283,1335.8144,58
101.8752975,-12.02601262,1334.7393,58
101.8597155,-12.03803585,1333.6636,58
101.8440867,-12.04996898,1332.5871,58
101.8284563,-12.061901,1331.51,58
101.8127328,-12.07387644,1330.4322,58
101.796871,-12.08580628,1329.3538,58
101.7810528,-12.09782396,1328.2747,58
101.7651878,-12.10975151,1327.1949,58
101.7491844,-12.12163344,1326.1144,58
101.7331794,-12.13351422,1325.0333,58
101.7171728,-12.14539383,1323.9514,58
101.7010731,-12.15731677,1322.8689,58
101.6848349,-12.16919403,1321.7856,58
101.6685951,-12.18107011,1320.7018,58
101.6523085,-12.19285602,1319.6173,58
101.6359287,-12.2046852,1318.532,58
101.6195473,-12.21651317,1317.4462,58
101.6030274,-12.22829542,1316.3596,58
101.5865511,-12.24016542,1315.2724,58
101.5698912,-12.25190068,1314.1844,58
101.5532747,-12.26372369,1313.0959,58
101.5366115,-12.27545648,1312.0066,58
101.519855,-12.28723246,1310.9166,58
101.50296,-12.29896263,1309.826,58
101.4861551,-12.31064713,1308.7347,58
101.4692568,-12.32237477,1307.6428,58
101.45222,-12.33405657,1306.5501,58
101.4351815,-12.34573709,1305.4568,58
101.4180497,-12.3574607,1304.3628,58
101.4009628,-12.36904968,1303.2681,58
101.3836908,-12.38072611,1302.1727,58
101.3664171,-12.39240123,1301.0767,58
101.3490966,-12.40398606,1299.98,58
101.3317745,-12.41556959,1298.8826,58
